Obj;60
Time;2125.27
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;13;35.7089;2.1;4.51;0.29;24;2.1;6.85822;184;0;0;0
1;13;2;6.85388;2.23;6.04;0.46;38;2.52708;5.48745;160;0;0;0
1;2;9;2.63;9.69;15.89;0.51;46;9.69;4.96145;122;0;0;0
1;9;8;3.36883;7.41;12.23;0.27;30;10.2674;4.28768;76;0;0;0
1;8;4;6.95612;13.74;22.01;0.46;46;13.74;2.89646;46;0;0;0
1;4;31;10.0259;0;0;0;0;14.4005;0.891287;0;2.34944;1;14.4005
1;31;0;27.9508;0;0;0;0;17.309;1e-09;0;0;0;0
2;0;31;27.9508;0;0;0;0;0.559017;8.40983;343;1.55976;1;0.559017
2;31;6;18.0988;3.66;6.5;0.24;22;3.66;7.9096;343;0;0;0
2;6;11;5.16427;4.93;10.23;0.54;45;4.93;6.87674;343;0;0;0
2;11;5;2.55454;10.16;17.32;0.25;31;10.16;6.36583;298;0;0;0
2;5;15;4.18937;12.67;21;0.19;21;12.67;5.52796;267;0;0;0
2;15;14;1.73159;11.87;20.19;0.47;47;12.8946;5.18164;246;0;0;0
2;14;1;1.31913;7.62;13.92;0.29;36;13.391;4.91782;199;0;0;0
2;1;7;5.86287;12.38;21.1;0.46;42;13.7983;3.74524;163;0;0;0
2;7;3;6.61105;11.17;18.02;0.34;43;14.3905;2.42303;121;0;0;0
2;3;31;12.1152;0;0;0;0;14.9728;9.99999e-10;78;2.51315;1;16.75
2;31;12;12.306;12.38;21.35;0.25;25;19.5092;2.5651;78;0;0;0
2;12;10;3.83084;11.92;19.95;0.31;31;19.8359;1.79894;78;0;0;0
2;10;31;8.99468;0;0;0;0;20.3257;9.99999e-10;47;2.79509;1;20.3257
2;31;0;27.9508;0;0;0;0;23.6798;9.99997e-10;47;0;0;0
3;0;23;40.7288;1.24;2.87;0.24;24;1.24;5.85424;188;0;0;0
3;23;30;3.20677;8.62;15.65;0.41;41;8.62;5.21289;164;0;0;0
3;30;29;1.997;6.23;10.61;0.29;32;9.06994;4.81349;123;0;0;0
3;29;18;0.27074;8.85;14.87;0.4;33;9.36535;4.75934;91;0;0;0
3;18;19;1.63441;11.53;19.06;0.31;31;11.53;4.43246;58;0;0;0
3;19;27;5.45517;14.92;23.97;0.24;27;14.92;3.34142;27;0;0;0
3;27;32;12.117;0;0;0;0;15.4023;0.918028;0;2.33607;1;15.4023
3;32;0;27.9508;0;0;0;0;18.2974;1e-09;0;0;0;0
4;0;32;27.9508;0;0;0;0;0.559017;8.40983;333;0.156767;1;0.559017
4;32;24;10.0298;2.43;5.17;0.24;30;2.43;6.71741;333;0;0;0
4;24;25;8.20842;1.65;4.32;0.35;29;2.83417;5.07572;333;0;0;0
4;25;26;0.870057;6.2;11.38;0.47;47;6.2;4.90171;304;0;0;0
4;26;16;2.26108;7.45;13.39;0.41;41;7.45;4.4495;257;0;0;0
4;16;28;5.44883;6.2;12.01;0.26;29;7.96898;3.35973;216;0;0;0
4;28;21;1.43224;13.57;23.15;0.32;32;13.57;3.07328;187;0;0;0
4;21;22;2.63154;14.98;25.1;0.36;33;14.98;2.54698;155;0;0;0
4;22;17;1.83393;13.75;22.96;0.38;42;15.3767;2.18019;122;0;0;0
4;17;20;2.66608;9.45;16.96;0.45;50;15.81;1.64697;80;0;0;0
4;20;32;8.23486;0;0;0;0;16.4247;9.99999e-10;30;2.79509;1;17.7384
4;32;0;27.9508;0;0;0;0;21.0925;9.99997e-10;30;0;0;0
