Obj;60
Time;2049.7
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;42;33.6573;0;0;0;0;0.673146;8.26854;368;0.650766;1;0.673146
1;42;21;2.67316;4.15;14.02;0.22;22;4.15;8.38468;368;0;0;0
1;21;32;4.43427;2.03;7.99;0.34;38;4.45869;7.49782;368;0;0;0
1;32;31;0.891267;7.88;24.96;0.25;21;7.88;7.31957;330;0;0;0
1;31;29;3.4544;2.44;9.08;0.26;32;8.19909;6.62869;309;0;0;0
1;29;39;7.31614;3.03;10.13;0.28;23;8.60541;5.16546;277;0;0;0
1;39;30;3.4226;2.62;9.5;0.34;43;8.95386;4.48094;254;0;0;0
1;30;26;3.47531;9.72;32.12;0.46;38;9.72;3.78588;211;0;0;0
1;26;40;1.97994;7.44;23.45;0.28;35;10.2196;3.38989;173;0;0;0
1;40;28;1.19354;9.89;32.16;0.27;27;10.5235;3.15119;138;0;0;0
1;28;36;2.37833;7.45;24.83;0.41;46;10.841;2.67552;111;0;0;0
1;36;37;1.77522;8.99;28.51;0.23;21;11.2865;2.32047;65;0;0;0
1;37;33;4.48847;5.41;17.63;0.18;22;11.6063;1.42278;44;0;0;0
1;33;42;7.1139;0;0;0;0;11.9286;1e-09;22;6.73146;1;11.9286
1;42;0;33.6573;0;0;0;0;19.3332;9.99999e-10;22;0;0;0
2;0;23;32.6519;3.99;14.49;0.38;38;3.99;8.46962;295;0;0;0
2;23;22;1.00228;13.54;43.16;0.29;32;13.54;8.26917;257;0;0;0
2;22;38;5.21364;12.35;39.97;0.5;42;13.9343;7.22644;225;0;0;0
2;38;25;2.19131;8.55;27.59;0.41;41;14.4781;6.78818;183;0;0;0
2;25;34;0.847313;8.7;27.14;0.29;32;14.905;6.61871;142;0;0;0
2;34;24;2.87542;10.29;33.81;0.23;26;15.2526;6.04363;110;0;0;0
2;24;35;2.77511;13.31;41.34;0.4;50;15.5381;5.48861;84;0;0;0
2;35;27;0.747959;6.32;20.47;0.34;34;15.953;5.33902;34;0;0;0
2;27;42;6.30866;0;0;0;0;16.4192;4.07728;0;2.65417;1;18.66
2;42;0;33.6573;0;0;0;0;21.9874;9.99999e-10;0;0;0;0
3;0;20;34.6543;5.83;20.49;0.53;44;5.83;8.06915;462;0;0;0
3;20;16;3.06294;2.21;9.38;0.24;27;6.42126;7.45656;418;0;0;0
3;16;8;1.04928;11.13;35.25;0.44;37;11.13;7.24671;391;0;0;0
3;8;17;2.97984;11.39;36.86;0.33;33;11.6296;6.65074;354;0;0;0
3;17;7;2.41887;3.25;12.37;0.24;22;12.008;6.16696;321;0;0;0
3;7;19;1.42335;14.3;45.09;0.31;26;14.3;5.88229;299;0;0;0
3;19;15;1.32202;13.7;42.94;0.46;46;14.6364;5.61789;273;0;0;0
3;15;1;6.84817;14.36;44.47;0.47;39;15.2334;4.24826;227;0;0;0
3;1;2;0.780247;15.98;49.6;0.18;22;15.98;4.09221;188;0;0;0
3;2;41;5.39742;0;0;0;0;16.2679;3.01272;166;0.564727;1;16.2679
3;41;4;1.82718;13.15;42.31;0.33;30;16.8692;3.21201;166;0;0;0
3;4;14;2.29052;10.14;32.77;0.18;20;17.245;2.75391;166;0;0;0
3;14;5;3.46664;11.83;38.24;0.23;29;17.4944;2.06058;146;0;0;0
3;5;9;2.2371;15;47.9;0.44;40;17.7691;1.61316;117;0;0;0
3;9;13;1.5985;6.2;21.55;0.38;47;18.2411;1.29346;77;0;0;0
3;13;41;6.4673;0;0;0;0;18.7504;9.99999e-10;30;6.73146;1;18.7504
3;41;0;33.6573;0;0;0;0;26.155;1e-09;30;0;0;0
4;0;41;33.6573;0;0;0;0;0.673146;8.26854;184;4.65552;1;0.673146
4;41;3;6.62079;4.55;16.53;0.3;25;5.46108;11.5999;184;0;0;0
4;3;11;4.36909;2.31;9.58;0.35;29;5.84846;10.7261;184;0;0;0
4;11;10;5.1883;1.81;6.97;0.23;23;6.30223;9.68843;155;0;0;0
4;10;6;3.3935;13.82;43.16;0.4;33;13.82;9.00973;132;0;0;0
4;6;18;3.14606;11.16;35.89;0.26;24;14.2829;8.38052;99;0;0;0
4;18;12;3.57186;6.97;23.07;0.4;50;14.6144;7.66614;75;0;0;0
4;12;0;38.3307;0;0;0;0;15.781;9.99998e-10;25;0;0;0
